Id,,modularity_class
介護サービス,,0
家族介護,,0
高額療養,,0
抜本改革,,0
介護保険制度,,0
医療制度,,0
コスト意識,,0
介護保険,,0
診療報酬,,0
改正法案,,0
自己負担,,0
生活実態,,0
平均寿命,,0
健康保険,,0
診療報酬体系,,0
医療保険制度,,0
医療保険,,0
保険制度,,0
医療機関,,0
医療サービス,,0
基盤整備,,0
患者負担,,0
定率負担,,0
予算委員,,0
世論調査,,0
国民医療,,0
医療提供体制,,0
所得水準,,0
医療制度改革,,0
通常国会,,0
国民健康保険,,0
特別対策,,0
介護認定,,0
老人医療,,0
老人保健制度,,0
国会審議,,0
全国平均,,0
生活支援,,0
薬価制度,,0
医療改革,,0
財政支援,,0
実態調査,,0
在宅サービス,,0
基礎年金,,1
現役世代,,1
社会保険方式,,1
消費税,,1
財政基盤,,1
給付水準,,1
年金受給,,1
国民年金,,1
国庫負担,,1
厚生大臣,,1
企業年金,,1
公的年金,,1
支給開始年齢,,1
厚生年金,,1
税方式,,1
自己責任,,1
社会保険,,1
福祉目的税,,1
自主運用,,1
後期高齢,,1
年金制度,,1
厚生年金基金,,1
公的年金制度,,1
所得保障,,1
財政方式,,1
現行制度,,1
生活保護,,1
自助努力,,1
私的年金,,1
中小零細企業,,1
老後生活,,1
消費支出,,1
年金給付,,1
年金改革,,1
年金保険,,1
確定拠出年金,,1
賦課方式,,1
積立方式,,1
経済戦略会議,,1
確定拠出,,1
報酬比例部分,,1
負担能力,,1
基本政策,,1
年金財政,,1
年金改正,,1
確定給付,,1
専業主婦,,1
保険方式,,1
国庫負担割合,,1
公費負担,,1
ひとり暮らし,,1
党合意,,1
年金積立,,1
情報開示,,1
日常生活,,2
社会生活,,2
基本構想,,2
身体障害,,2
公共交通機関,,2
関係省庁,,2
精神障害,,2
知的障害,,2
成年後見制度,,2
任用制度,,2
地方公務員,,2
社会参加,,2
条件整備,,2
基本方針,,2
閣議決定,,2
定年退職,,2
公務部門,,2
関係機関,,2
法改正,,2
高齢社会,,2
福祉サービス,,2
交通バリアフリー,,2
国家公務員,,2
沖縄サミット,,2
労働組合,,2
保佐,,2
国民各層,,2
社会福祉法人,,2
判断能力,,2
自己決定,,2
生活空間,,2
施設整備,,2
自治大臣,,2
関係団体,,2
国家公安委員,,2
運輸大臣,,2
意見陳述,,2
建設大臣,,2
賃貸住宅,,3
住宅政策,,3
優良賃貸住宅,,3
充実強化,,3
地方分権,,3
地域住民,,3
地方団体,,3
役割分担,,3
特別措置,,3
特例措置,,3
地方自治,,3
市町村合併,,3
民間活力,,3
特別会計,,3
社会経済情勢,,3
財政投融資計画,,3
地方税,,3
高度情報,,3
地域社会,,3
創意工夫,,3
中央省庁,,3
一般会計予算,,3
十分配慮,,3
行財政改革,,3
人材育成,,3
地方公共団体,,3
早期成立,,3
交通事業,,3
行政改革,,3
維持管理,,3
税負担,,3
ボランティア活動,,3
民間事業,,3
地方交付税,,3
最大限努力,,3
公共施設,,3
自然環境,,3
地方財政,,3
法人税,,3
最高税率,,3
特殊法人,,3
独立行政法人,,3
災害対策,,3
体制整備,,3
制度改正,,3
整理合理,,3
居住環境,,3
公共賃貸住宅,,3
淡路大震災,,3
都市計画,,3
情報公開,,3
公団住宅,,3
地方行政,,3
中心市街地,,3
再発防止,,3
福祉施設,,3
交付税,,3
所得税,,3
高額所得,,3
一般会計,,3
住宅建設,,3
中央省庁再編,,3
公営住宅,,3
経済産業,,3
安定確保,,3
民間企業,,3
行政サービス,,3
労働条件,,3
国際協力,,3
過疎地域,,3
危機管理,,3
交通機関,,3
公益法人,,3
定期借家,,3
情報提供,,3
委員各位,,3
法律改正,,3
調査研究,,3
関連法案,,3
議員立法,,3
鉄道事業,,3
行政機関,,3
厚生労働省,,4
国土交通省,,4
雇用環境,,4
男女共同参画,,4
待機児童,,4
大蔵大臣,,4
エンゼルプラン,,4
両立支援,,4
児童手当,,4
健全育成,,4
育児休業,,4
扶養控除,,4
厚生労働大臣,,4
予防接種,,4
少子化対策,,4
子育て支援,,4
保育サービス,,4
省庁再編,,4
合計特殊出生,,4
介護休業,,4
文部科学,,4
食料自給,,5
農業経営,,5
生活環境,,5
農林水産,,5
基本理念,,5
山間地域,,5
市場原理,,5
農業基本,,5
我が国農業,,5
民主主義,,5
新規就農,,5
基本計画,,5
安定供給,,5
土地利用,,5
農業生産,,5
農山漁村,,5
資金調達,,5
耕作放棄,,5
環境保全,,5
基本法案,,5
有効利用,,5
農村基本,,5
年金基金,,5
全国各地,,5
雇用不安,,6
努力義務,,6
雇用対策,,6
労働市場,,6
ミスマッチ,,6
雇用創出,,6
雇用保険,,6
労働大臣,,6
雇用安定,,6
完全失業,,6
雇用失業情勢,,6
産業構造,,6
労働移動,,6
職業訓練,,6
緊急雇用対策,,6
雇用機会,,6
雇用情勢,,6
能力開発,,6
家庭生活,,6
職業生活,,6
サービス残業,,6
職業能力開発,,6
雇用問題,,6
有効求人倍率,,6
日本経済,,7
新規産業,,7
景気対策,,7
社会資本整備,,7
中小企業対策,,7
経営環境,,7
重要課題,,7
財政再建,,7
国債発行,,7
政策課題,,7
経済構造改革,,7
経済運営,,7
公需,,7
経済政策,,7
ＩＴ革命,,7
研究開発,,7
景気回復,,7
マイナス成長,,7
中小企業,,7
設備投資,,7
公共事業,,7
予算配分,,7
公共事業関係,,7
日本新生,,7
社会資本,,7
金融システム,,7
我が国経済,,7
経済情勢,,7
財政構造改革,,7
経済新生,,7
情報通信,,7
軸足,,7
構造改革,,7
金融対策,,7
環境対策,,7
発展基盤,,7
個人消費,,7
財政運営,,7
ベンチャー企業,,7
規制緩和,,7
技術開発,,7
生活基盤,,7
個人所得課税,,7
回復軌道,,7
我が国経済社会,,7
科学技術,,7
補正予算,,7
経済再生,,7
日本新生プラン,,7
環境対応,,7
資金供給,,7
経済対策,,7
電子政府,,7
電子商取引,,7
プラス成長,,7
国際競争,,7
経済新生対策,,7
財政赤字,,7
バブル崩壊,,7
予算措置,,7
産業競争,,7
金融機関,,7
金融再生委員,,7
政策効果,,7
緊急経済対策,,7
民需主導,,7
公的資金,,7
経済発展,,7
都市基盤整備,,7
不良債権,,7
予算編成,,7
ミレニアムプロジェクト,,7
経済状況,,7
不良債権処理,,7
地域経済,,7
事業規模,,7
公共投資,,7
技術革新,,7
情報通信技術,,7
世界経済,,7
処分所得,,7
環境整備,,7
規制改革,,7
公債依存,,7
財政事情,,7
アジア諸国,,7
アジア経済,,7
公債発行,,7
財政支出,,7
政府予算,,7
都市基盤,,7
臨時国会,,7
財政危機,,7
我が国財政,,7
財務大臣,,7
法制度,,7
経済効果,,7
安全確保,,7
支援措置,,7
日本社会,,7
概算要求,,7
国会議員,,8
憲法調査,,8
施政方針演説,,8
内閣総理大臣,,8
総理大臣,,8
附帯決議,,8
日本共産党,,8
市民連合,,8
関係大臣,,8
改革クラブ,,8
所信表明演説,,8
学校教育,,8
官房長官,,8
信頼関係,,8
教育改革,,8
高等学校,,8
連立政権,,8
外務大臣,,8
全会一致,,8
提案理由,,8
政治主導,,8
趣旨説明,,8
護憲連合,,8
最終報告,,8
教育基本,,8
中間報告,,8
日米,,8
文部大臣,,8
代表質問,,8
反対討論,,8
意思決定,,8
参議院選挙,,8
記者会見,,8
選挙制度,,8
児童生徒,,8
セーフティーネット,,9
有識者会議,,9
社会保障制度,,9
少子高齢,,9
持続可能,,9
国民生活,,9
経済社会,,9
税制改正,,9
制度改革,,9
地球温暖,,9
国際社会,,9
社会保障,,9
社会保障構造,,9
中高年齢,,9
消費税率,,9
財政状況,,9
国民負担,,9
経済成長,,9
雇用形態,,9
日本国憲法,,9
核家族,,9
安全保障,,9
所信表明,,9
措置制度,,9
少子高齢社会,,9
地球規模,,9
人口構成,,9
社会経済,,9
経済構造,,9
連立内閣,,9
経済活動,,9
厚生行政,,9
構造変化,,9
社会福祉,,9
社会保障給付,,9
社会保障改革,,9
社会保障関係,,9
税制改革,,9
人口構造,,9
地球環境問題,,9
生活水準,,9
終身雇用,,9
社会構造,,9
実施状況,,9
厚生委員,,9
地球環境,,9
日本国民,,9
基本原則,,9
労働行政,,9
先進諸国,,9
赤字国債,,9
高度成長,,9
欧米諸国,,9
